,id,specialty,procedure_code
393219,24161,Unknown,95812
393220,24161,Unknown,95812
524292,32145,Cardiology,36252
393222,24161,Unknown,95911
393223,24161,Unknown,95913
393224,24161,Unknown,95956
131086,8042,Unknown,G0268
131087,8042,Unknown,G0402
524305,32145,Cardiology,80069
131090,8042,Unknown,J2930
524306,32145,Cardiology,80076
262164,16142,Unknown,G0434
393236,24161,Unknown,99354
22,5,Cardiology,92920
524308,32145,Cardiology,81225
524309,32145,Cardiology,81240
524310,32145,Cardiology,81241
524311,32145,Cardiology,81291
524312,32145,Cardiology,82150
524313,32145,Cardiology,82248
524315,32145,Cardiology,82306
524316,32145,Cardiology,82523
524317,32145,Cardiology,82553
524319,32145,Cardiology,82607
524320,32145,Cardiology,82670
524321,32145,Cardiology,82728
524322,32145,Cardiology,82746
524323,32145,Cardiology,83001
524324,32145,Cardiology,83002
524326,32145,Cardiology,83090
524328,32145,Cardiology,83550
524329,32145,Cardiology,83721
524330,32145,Cardiology,83735
524331,32145,Cardiology,83874
524332,32145,Cardiology,83880
524333,32145,Cardiology,83970
47,5,Cardiology,A9555
524335,32145,Cardiology,84144
49,5,Cardiology,J1245
524336,32145,Cardiology,84153
51,6,Plastic and Reconstructive Surgery,15823
52,6,Plastic and Reconstructive Surgery,36475
53,6,Plastic and Reconstructive Surgery,37766
54,6,Plastic and Reconstructive Surgery,67900
393268,24164,Urology,11980
262200,16143,Cardiology,93979
393270,24164,Urology,51700
393271,24164,Urology,51701
393272,24164,Urology,51702
393276,24164,Urology,52601
393277,24164,Urology,55700
131134,8045,Unknown,93451
208425,12739,Unknown,33225
393278,24164,Urology,76872
524344,32145,Cardiology,85379
524345,32145,Cardiology,85576
393283,24164,Urology,82670
393284,24164,Urology,84153
393285,24164,Urology,84154
393286,24164,Urology,84270
393287,24164,Urology,84403
524351,32145,Cardiology,92547
262217,16144,Cardiology,33225
393289,24164,Urology,87086
393290,24164,Urology,87088
393291,24164,Urology,87186
262221,16144,Cardiology,36010
524364,32145,Cardiology,93784
262223,16144,Cardiology,76001
524371,32145,Cardiology,94250
393300,24164,Urology,G0103
393301,24164,Urology,J3490
393302,24165,Urology,50590
524372,32145,Cardiology,94640
524373,32145,Cardiology,94664
393305,24165,Urology,52310
393306,24165,Urology,52332
393307,24165,Urology,52356
393308,24165,Urology,52601
393309,24165,Urology,52630
393310,24165,Urology,55700
393311,24165,Urology,64566
524376,32145,Cardiology,95004
393313,24165,Urology,76872
524377,32145,Cardiology,95905
393316,24165,Urology,96402
262245,16144,Cardiology,93613
131174,8049,Obstetrics/Gynecology,82270
103,8,Anesthesiology,64445
262246,16144,Cardiology,93623
262248,16144,Cardiology,93653
524388,32145,Cardiology,G0103
524389,32145,Cardiology,G0278
393324,24165,Urology,J9217
524390,32145,Cardiology,G0328
524391,32145,Cardiology,G0399
524392,32145,Cardiology,G0403
524394,32145,Cardiology,G0452
524395,32145,Cardiology,J0151
524397,32145,Cardiology,J1070
524398,32145,Cardiology,J1080
262261,16145,Diagnostic Radiology,19083
533724,32691,Psychiatry,90832
524411,32146,Internal Medicine,82550
524415,32146,Internal Medicine,83550
524416,32146,Internal Medicine,84153
416851,25600,Unknown,J0210
524418,32146,Internal Medicine,84550
524421,32146,Internal Medicine,85652
524422,32146,Internal Medicine,87077
416852,25600,Unknown,J0696
524423,32146,Internal Medicine,87081
524424,32146,Internal Medicine,87086
524425,32146,Internal Medicine,87088
524426,32146,Internal Medicine,87186
393359,24169,Unknown,31624
131219,8051,Internal Medicine,G0434
393363,24169,Unknown,94004
442906,27189,Anesthesiology,00120
393368,24169,Unknown,94727
393369,24169,Unknown,94727
573165,35108,Unknown,20526
131232,8052,Unknown,G0121
131236,8053,Unknown,36252
165,11,Unknown,00400
166,11,Unknown,00520
524455,32146,Internal Medicine,G0328
173,11,Unknown,64415
174,11,Unknown,64445
573169,35108,Unknown,26055
176,11,Unknown,64450
131251,8053,Unknown,81225
131252,8053,Unknown,81241
